id,nft_rank,rarity score new,img_url,is_one_of_one,background,mushroom,skin,clothes,mouth,eyes,item,head,accessory,trait_count
6892,3637,157.51,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_6892/image.svg,No,Clouds,Green,Blue,T-shirt - Heart - Pink,Smile Big,Bored,None,Beanie - Blue,None,4
1263,3638,157.49,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1263/image.svg,No,Sunrise,Yellow,Blue,Turtleneck - Blue,Laugh,Glasses - Sun,None,Beanie - Blue,None,4
781,3639,157.47,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_781/image.svg,No,Orange,Common,Brown,Hoodie - Pink,Rainbow Vom,Right Down,Ice Sword,Brain,None,5
1908,3640,157.43,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1908/image.svg,No,Pink,Yellow,Brown,T-shirt - Fly - Red,O,Contentful,Wand Right,Back Cap - White,None,5
7086,3641,157.43,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7086/image.svg,No,Grey,Brown,Blue,T-shirt - Rocket - Grey,Rainbow Vom,Excited,None,Bandana - Blue,None,4
2192,3642,157.43,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2192/image.svg,No,Mint,Red - Spots,Brown,T-shirt - Heart - Black,Rainbow Vom,Hearts,None,Bandana - Purple,None,4
2184,3643,157.41,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2184/image.svg,No,Grey,Orange,OG Green,T-shirt - Camo,Smile,Lasers,None,Mohawk - Green,Flies,5
4427,3644,157.40,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4427/image.svg,No,Purple,Common,Purple,None,Rainbow Vom,Wide Down,None,Back Cap - Red,None,3
1425,3645,157.39,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1425/image.svg,No,Pink,Brown,Grey,T-shirt - Heart - Pink,Smile,Tired,Wand Right,Back Cap - Red,None,5
1536,3646,157.38,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1536/image.svg,No,Green,Red - Spots,Orange,Astronaut,Smile,Right Up,None,Cap - Red,None,4
7832,3647,157.38,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7832/image.svg,No,Pink,Common,OG Green,Turtleneck - Blue,Small Gasp,Wide Up,Axe Right,Back Cap - Blue,None,5
6944,3648,157.36,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_6944/image.svg,No,Orange,Yellow,Brown,Samuri,Laugh,Suspicious,None,Back Cap - Blue,None,4
1778,3649,157.32,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1778/image.svg,No,Purple,Yellow,Blue,Hoodie - Pink,Fire,Suspicious,None,None,None,3
7102,3650,157.31,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7102/image.svg,No,Purple,Common,Dark Green,Hoodie - Camo,Laugh - Teeth,Tired,Wand Right,Beanie - Grey,None,5
7548,3651,157.28,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7548/image.svg,No,Brown,Red - Spots,OG Green,Turtleneck - Grey,Blunt,Stoned,None,Bandana - Blue,None,4
641,3652,157.28,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_641/image.svg,No,Sky Blue,Grey,Brown,T-shirt - Heart - Black,Smile Big,Tired,Lightsaber - Red,Halo,None,5
5894,3653,157.27,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5894/image.svg,No,Sunrise,Brown,Orange,Hoodie - Dark Blue,Blunt,Hearts,None,Brain,None,4
5520,3654,157.27,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5520/image.svg,No,Green,Common,Brown,Astronaut,Smile,Excited,None,Back Cap - Blue,None,4
2563,3655,157.22,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2563/image.svg,No,Swamp,Brown,Orange,Hoodie - Camo,Pipe,Suspicious,None,Halo,None,4
5508,3656,157.21,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5508/image.svg,No,Brown,Common,OG Green,Pirate,Pipe,Wide Down,None,None,None,3
4785,3657,157.21,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4785/image.svg,No,Sky,Grey,Brown,T-shirt - Rocket - Grey,Laugh - Teeth,Excited,None,Afro,None,4
5936,3658,157.21,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5936/image.svg,No,Pink,Blue,OG Green,Hawaiian Shirt,Laugh,Contentful,None,Beanie - Yellow,None,4
2506,3659,157.20,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2506/image.svg,No,Purple,Common,OG Green,T-shirt - Rocket - Grey,Meh,Right Down,Sword,None,None,4
2741,3660,157.20,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2741/image.svg,No,Sunrise,Orange,OG Green,Pirate,Pipe,Contentful,None,None,None,3
4428,3661,157.19,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4428/image.svg,No,Sky Blue,Brown,Purple,Hoodie - White,Pipe,Right Down,None,Wizard Hat - Brown,None,4
4961,3662,157.19,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4961/image.svg,No,Brown,Brown,Brown,Hoodie - Dark Blue,Small Gasp,Right Up,Lightsaber - Green,Back Cap - Red,None,5
1136,3663,157.19,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1136/image.svg,No,Sky Blue,Common,Blue,T-shirt - Fly - Grey,Laugh,Contentful,Lightsaber - Green,Beanie - Grey,None,5
6533,3664,157.18,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_6533/image.svg,No,Pink,Orange,Purple,Convict,Tongue,Bored,None,None,None,3
1126,3665,157.17,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1126/image.svg,No,Red,Green,Pink,T-shirt - Skull,O,Eye Roll,None,Mohawk - Purple,None,4
2811,3666,157.16,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2811/image.svg,No,Orange,Common,Brown,Overalls - Red,Blunt,Eye Roll,None,Straw Hat,None,4
4973,3667,157.16,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4973/image.svg,No,Sky,Common,Blue,Turtleneck - Grey,Small Gasp,Suspicious,Axe Right,None,None,4
